"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"51" "AIF1" "GO:0005739" "GO:0005886" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "AIM14" "GO:0016021" "GO:0005840" "GO:0097038" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "AIM20" "GO:0005634" "GO:0005737" "GO:0000324" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "AIM21" "GO:0043332" "GO:0015629" "GO:0005840" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "AIM24" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "AIM26" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "AIM3" "GO:0045121" "GO:0030479" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "AIM44" "GO:0005935" "GO:0005934" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "AIM7" "GO:0005737" "GO:0030479" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "AIP1" "GO:0005737" "GO:0005634" "GO:0043332" "GO:0005884" "GO:0030479" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "AIR1" "GO:0005730" "GO:0031499" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "AIR2" "GO:0031499" "GO:0005730" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "AKL1" "GO:0005628" "GO:0005737" "GO:0005935" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "AKR1" "GO:0005794" "GO:0016020" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "AKR2" "GO:0000329" "GO:0005794" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "ALA1" "GO:0005737" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "ALB1" "GO:0005634" "GO:0005737" "GO:0005840" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "ALD4" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "ALD6" "GO:0005739" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "ALE1" "GO:0005783" "GO:0005840" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "ALF1" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "ALG1" "GO:0016021" "GO:0005783" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "ALG12" "GO:0016021" "GO:0005783" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "ALG13" "GO:0005737" "GO:0005634" "GO:0005783" "GO:0042406" "GO:0043541" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "ALG14" "GO:0031227" "GO:0042175" "GO:0030176" "GO:0043541" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" "ALG2" "GO:0005783" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "ALG3" "GO:0005783" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"78" "ALG6" "GO:0016021" "GO:0005783" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"79" "ALG7" "GO:0043541" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"80" "ALG8" "GO:0016021" "GO:0005789" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "ALG9" "GO:0005783" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"82" "ALO1" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"83" "ALP1" "GO:0016021" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"84" "ALR1" "GO:0005886" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"85" "ALR2" "GO:0016021" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"86" "ALT2" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"87" "ALY1" "GO:0005769" "GO:0005770" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"88" "ALY2" "GO:0005737" "GO:0005770" "GO:0005769" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"89" "AME1" "GO:0005737" "GO:0005816" "GO:0005634" "GO:0000776" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"90" "AMN1" "GO:0005933" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"91" "ANP1" "GO:0000137" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"92" "ANR2" "GO:0005737" "GO:0005811" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"93" "ANT1" "GO:0005779" "GO:0005737" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"94" "AOS1" "GO:0005634" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"95" "APA1" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"96" "APA2" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"97" "APC1" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"98" "APC4" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"99" "APC5" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"100" "APD1" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"101" "APE1" "GO:0000324" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"102" "APE2" "GO:0005739" "GO:0005576" "GO:0030287" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"103" "APE4" "GO:0000328" "GO:0005737" "GO:0005840" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"104" "APJ1" "GO:0005739" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"105" "APL1" "GO:0030139" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"106" "APL3" "GO:0030122" "GO:0005935" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"107" "APN1" "GO:0005634" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"108" "APP1" "GO:0015629" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"109" "APQ12" "GO:0005635" "GO:0005783" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"110" "APS2" "GO:0030136" "GO:0005628" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"111" "APT1" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"112" "AQR1" "GO:0005886" "GO:0016021" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"113" "AQY1" "GO:0016021" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"114" "AQY2" "GO:0005789" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"115" "ARB1" "GO:0005634" "GO:0005737" "GO:0005840" "GO:0030687" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"116" "ARC1" "GO:0005737" "GO:0017102" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"117" "ARC15" "GO:0031315" "GO:0005885" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"118" "ARC18" "GO:0005885" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"119" "ARC35" "GO:0005885" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"120" "ARD1" "GO:0031415" "GO:0022626" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"121" "ARE1" "GO:0005783" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"122" "ARE2" "GO:0016021" "GO:0005783" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"123" "ARF3" "GO:0005934" "GO:0005935" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"124" "ARG5,6" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"125" "ARG7" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"126" "ARG8" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"127" "ARH1" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"128" "ARI1" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"129" "ARK1" "GO:0043332" "GO:0030479" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"130" "ARL1" "GO:0005802" "GO:0005829" "GO:0005794" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"131" "ARL3" "GO:0005794" "GO:0042175" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
