""	"rules"	"support"	"confidence"	"lift"
"125"	"{GO:0050840} => {GO:0001968}"	0.0172413793103448	1	58
"127"	"{GO:0005044} => {GO:0043236}"	0.0172413793103448	1	58
"128"	"{GO:0043236} => {GO:0005044}"	0.0172413793103448	1	58
"129"	"{GO:0005044} => {GO:0050840}"	0.0172413793103448	1	58
"130"	"{GO:0050840} => {GO:0005044}"	0.0172413793103448	1	58
"132"	"{GO:0043236} => {GO:0050840}"	0.0172413793103448	1	58
"133"	"{GO:0050840} => {GO:0043236}"	0.0172413793103448	1	58
"136"	"{GO:0031210} => {GO:0008429}"	0.0172413793103448	1	58
"137"	"{GO:0008429} => {GO:0031210}"	0.0172413793103448	1	58
"146"	"{GO:0044822} => {GO:0035257}"	0.0172413793103448	1	58
"147"	"{GO:0035257} => {GO:0044822}"	0.0172413793103448	1	58
"148"	"{GO:0044822} => {GO:0032947}"	0.0172413793103448	1	58
"149"	"{GO:0032947} => {GO:0044822}"	0.0172413793103448	1	58
"150"	"{GO:0044822} => {GO:0019904}"	0.0172413793103448	1	58
"151"	"{GO:0019904} => {GO:0044822}"	0.0172413793103448	1	58
"152"	"{GO:0044822} => {GO:0004535}"	0.0172413793103448	1	58
"153"	"{GO:0004535} => {GO:0044822}"	0.0172413793103448	1	58
"154"	"{GO:0044822} => {GO:0070016}"	0.0172413793103448	1	58
"155"	"{GO:0070016} => {GO:0044822}"	0.0172413793103448	1	58
"157"	"{GO:0035257} => {GO:0032947}"	0.0172413793103448	1	58
"158"	"{GO:0032947} => {GO:0035257}"	0.0172413793103448	1	58
"159"	"{GO:0035257} => {GO:0019904}"	0.0172413793103448	1	58
"160"	"{GO:0019904} => {GO:0035257}"	0.0172413793103448	1	58
"161"	"{GO:0035257} => {GO:0004535}"	0.0172413793103448	1	58
"162"	"{GO:0004535} => {GO:0035257}"	0.0172413793103448	1	58
"163"	"{GO:0035257} => {GO:0070016}"	0.0172413793103448	1	58
"164"	"{GO:0070016} => {GO:0035257}"	0.0172413793103448	1	58
"166"	"{GO:0032947} => {GO:0019904}"	0.0172413793103448	1	58
"167"	"{GO:0019904} => {GO:0032947}"	0.0172413793103448	1	58
"168"	"{GO:0032947} => {GO:0004535}"	0.0172413793103448	1	58
"169"	"{GO:0004535} => {GO:0032947}"	0.0172413793103448	1	58
"170"	"{GO:0032947} => {GO:0070016}"	0.0172413793103448	1	58
"171"	"{GO:0070016} => {GO:0032947}"	0.0172413793103448	1	58
"173"	"{GO:0019904} => {GO:0004535}"	0.0172413793103448	1	58
"174"	"{GO:0004535} => {GO:0019904}"	0.0172413793103448	1	58
"175"	"{GO:0019904} => {GO:0070016}"	0.0172413793103448	1	58
"176"	"{GO:0070016} => {GO:0019904}"	0.0172413793103448	1	58
"178"	"{GO:0004535} => {GO:0070016}"	0.0172413793103448	1	58
