"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"24" "ADE16" "GO:0006164" "GO:0009060" "GO:0030437" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "ADE17" "GO:0006164" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "ADE2" "GO:0072521" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "ADE3" "GO:0006760" "GO:0009113" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "ADE6" "GO:0006164" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "ADE8" "GO:0072522" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "ADF1" "GO:0000122" "GO:0000750" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "ADH1" "GO:0006116" "GO:0046165" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "ADH2" "GO:0006066" "GO:0006116" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "ADH3" "GO:0006113" "GO:0006116" "GO:0000947" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "ADH4" "GO:0006113" "GO:0000947" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "ADH5" "GO:0046165" "GO:0006116" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "ADH6" "GO:0006081" "GO:0033859" "GO:0006066" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "ADK1" "GO:0006270" "GO:0009117" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "ADR1" "GO:0006355" "GO:0071400" "GO:0006325" "GO:0007031" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "ADY2" "GO:0055085" "GO:0019740" "GO:0006820" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "ADY3" "GO:0000001" "GO:0030435" "GO:0030476" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "AEP3" "GO:0016071" "GO:0070124" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "AFG1" "GO:0016558" "GO:0034599" "GO:0006515" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "AFG2" "GO:0042273" "GO:0042493" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "AFG3" "GO:0010467" "GO:0006461" "GO:0001302" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "AFI1" "GO:0051666" "GO:0008105" "GO:0000282" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "AFR1" "GO:0007186" "GO:0000767" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "AFT1" "GO:0045944" "GO:0045132" "GO:0034087" "GO:0034758" "GO:0007059" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "AFT2" "GO:0045944" "GO:0034599" "GO:0006879" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "AGC1" "GO:0044271" "GO:0015800" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "AGE1" "GO:0048193" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "AGE2" "GO:0048193" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "AGP1" "GO:0055085" "GO:0006865" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "AGP2" "GO:1902274" "GO:1902269" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "AGP3" "GO:0006865" "GO:0055085" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "AHA1" "GO:0006457" "GO:0034605" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "AHP1" "GO:0045454" "GO:0010038" "GO:0034599" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "AI1" "GO:0090304" "GO:0045333" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "AI4" "GO:0090304" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
