	rules	support	confidence	lift
161	{GO:0003697,GO:0003968} => {GO:0003727}	0.00132450331125828	1	503.333333333333
174	{GO:0003697,GO:0031369} => {GO:0003727}	0.00132450331125828	1	503.333333333333
198	{GO:0001047,GO:0070577} => {GO:0001094}	0.00132450331125828	1	503.333333333333
306	{GO:0001664,GO:0003924,GO:0004871} => {GO:0031683}	0.00132450331125828	1	503.333333333333
310	{GO:0003697,GO:0003968,GO:0031369} => {GO:0003727}	0.00132450331125828	1	503.333333333333
20	{GO:0000009} => {GO:0016757}	0.00132450331125828	1	377.5
26	{GO:0010997} => {GO:0097027}	0.00132450331125828	1	377.5
31	{GO:0017112} => {GO:0001786}	0.00132450331125828	1	377.5
82	{GO:0005527} => {GO:0005528}	0.00198675496688742	1	377.5
120	{GO:0017112,GO:1901981} => {GO:0001786}	0.00132450331125828	1	377.5
167	{GO:0003755,GO:0005527} => {GO:0005528}	0.00198675496688742	1	377.5
197	{GO:0001094,GO:0070577} => {GO:0001047}	0.00132450331125828	1	377.5
208	{GO:0000991,GO:0001135} => {GO:0001129}	0.00132450331125828	1	377.5
215	{GO:0001132,GO:0003713} => {GO:0001047}	0.00132450331125828	1	377.5
216	{GO:0001047,GO:0003713} => {GO:0001132}	0.00132450331125828	1	377.5
218	{GO:0001132,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
219	{GO:0001047,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
221	{GO:0001132,GO:0003682} => {GO:0001047}	0.00132450331125828	1	377.5
228	{GO:0003682,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
233	{GO:0003682,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
338	{GO:0001132,GO:0003713,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
339	{GO:0001047,GO:0003713,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
342	{GO:0001132,GO:0003682,GO:0003713} => {GO:0001047}	0.00132450331125828	1	377.5
343	{GO:0001047,GO:0003682,GO:0003713} => {GO:0001132}	0.00132450331125828	1	377.5
346	{GO:0001132,GO:0003682,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
347	{GO:0001047,GO:0003682,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
351	{GO:0003682,GO:0003713,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
355	{GO:0003682,GO:0003713,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
380	{GO:0001132,GO:0003682,GO:0003713,GO:0003714} => {GO:0001047}	0.00132450331125828	1	377.5
381	{GO:0001047,GO:0003682,GO:0003713,GO:0003714} => {GO:0001132}	0.00132450331125828	1	377.5
30	{GO:0017048} => {GO:0005100}	0.00132450331125828	1	302
37	{GO:0008157} => {GO:0008599}	0.00198675496688742	1	302
88	{GO:0001089} => {GO:1990269}	0.00132450331125828	1	302
92	{GO:0005545} => {GO:0015248}	0.00198675496688742	1	302
176	{GO:0000993,GO:0001089} => {GO:1990269}	0.00132450331125828	1	302
178	{GO:0001076,GO:0001089} => {GO:1990269}	0.00132450331125828	1	302
180	{GO:0001089,GO:0003682} => {GO:1990269}	0.00132450331125828	1	302
191	{GO:0005545,GO:0008142} => {GO:0015248}	0.00198675496688742	1	302
193	{GO:0005545,GO:0008289} => {GO:0015248}	0.00198675496688742	1	302
243	{GO:0000993,GO:0001076} => {GO:1990269}	0.00198675496688742	1	302
245	{GO:0000993,GO:0003682} => {GO:1990269}	0.00132450331125828	1	302
247	{GO:0001076,GO:0003682} => {GO:1990269}	0.00132450331125828	1	302
249	{GO:0001076,GO:0003723} => {GO:1990269}	0.00132450331125828	1	302
314	{GO:0000993,GO:0001076,GO:0001089} => {GO:1990269}	0.00132450331125828	1	302
317	{GO:0000993,GO:0001089,GO:0003682} => {GO:1990269}	0.00132450331125828	1	302
321	{GO:0001076,GO:0001089,GO:0003682} => {GO:1990269}	0.00132450331125828	1	302
329	{GO:0005545,GO:0008142,GO:0008289} => {GO:0015248}	0.00198675496688742	1	302
362	{GO:0000993,GO:0001076,GO:0003682} => {GO:1990269}	0.00132450331125828	1	302
375	{GO:0000993,GO:0001076,GO:0001089,GO:0003682} => {GO:1990269}	0.00132450331125828	1	302
86	{GO:0015266} => {GO:0030943}	0.0033112582781457	0.833333333333333	251.666666666667
29	{GO:0000146} => {GO:0051015}	0.00132450331125828	1	251.666666666667
44	{GO:0016209} => {GO:0046914}	0.00132450331125828	1	251.666666666667
53	{GO:0004519} => {GO:0003676}	0.00132450331125828	1	251.666666666667
73	{GO:0004784} => {GO:0046914}	0.00198675496688742	1	251.666666666667
85	{GO:0030943} => {GO:0015266}	0.0033112582781457	1	251.666666666667
128	{GO:0004784,GO:0016209} => {GO:0046914}	0.00132450331125828	1	251.666666666667
196	{GO:0001047,GO:0001094} => {GO:0070577}	0.00132450331125828	1	251.666666666667
239	{GO:0008142,GO:1901981} => {GO:0070300}	0.00132450331125828	1	251.666666666667
241	{GO:0008289,GO:1901981} => {GO:0070300}	0.00132450331125828	1	251.666666666667
359	{GO:0008142,GO:0008289,GO:1901981} => {GO:0070300}	0.00132450331125828	1	251.666666666667
7	{GO:0004528} => {GO:0016462}	0.00132450331125828	1	215.714285714286
38	{GO:0047066} => {GO:0004602}	0.00198675496688742	1	215.714285714286
72	{GO:0004364} => {GO:0004602}	0.00198675496688742	1	215.714285714286
93	{GO:0005545} => {GO:0008142}	0.00198675496688742	1	215.714285714286
95	{GO:0019153} => {GO:0003756}	0.00198675496688742	1	215.714285714286
98	{GO:0015035} => {GO:0003756}	0.00264900662251656	1	215.714285714286
102	{GO:0015248} => {GO:0008142}	0.0033112582781457	1	215.714285714286
147	{GO:0004364,GO:0015036} => {GO:0004602}	0.00132450331125828	1	215.714285714286
190	{GO:0005545,GO:0015248} => {GO:0008142}	0.00198675496688742	1	215.714285714286
195	{GO:0005545,GO:0008289} => {GO:0008142}	0.00198675496688742	1	215.714285714286
199	{GO:0015035,GO:0019153} => {GO:0003756}	0.00132450331125828	1	215.714285714286
201	{GO:0019153,GO:0051082} => {GO:0003756}	0.00132450331125828	1	215.714285714286
203	{GO:0005515,GO:0019153} => {GO:0003756}	0.00198675496688742	1	215.714285714286
209	{GO:0015035,GO:0051082} => {GO:0003756}	0.00132450331125828	1	215.714285714286
210	{GO:0005515,GO:0015035} => {GO:0003756}	0.00198675496688742	1	215.714285714286
235	{GO:0008289,GO:0015248} => {GO:0008142}	0.0033112582781457	1	215.714285714286
237	{GO:0008289,GO:0070300} => {GO:0008142}	0.00132450331125828	1	215.714285714286
257	{GO:0008289,GO:1901981} => {GO:0008142}	0.00132450331125828	1	215.714285714286
328	{GO:0005545,GO:0008289,GO:0015248} => {GO:0008142}	0.00198675496688742	1	215.714285714286
331	{GO:0005515,GO:0015035,GO:0019153} => {GO:0003756}	0.00132450331125828	1	215.714285714286
333	{GO:0005515,GO:0019153,GO:0051082} => {GO:0003756}	0.00132450331125828	1	215.714285714286
335	{GO:0005515,GO:0015035,GO:0051082} => {GO:0003756}	0.00132450331125828	1	215.714285714286
358	{GO:0008289,GO:0070300,GO:1901981} => {GO:0008142}	0.00132450331125828	1	215.714285714286
35	{GO:0032794} => {GO:0004871}	0.00132450331125828	1	188.75
36	{GO:0004862} => {GO:0004871}	0.00132450331125828	1	188.75
